БЕ,Класс ЕО,Тип конструкции,Техместо,МВЗ,Модель ЕО,ЕО,Наименоваание ЕО,Дата начала эксплуатации,Дата завершения эксплуатации,Среднесуточная наработка,Наработка 1.03.2022,Дата время начала работ,Дата время завершения работ,Год,Месяц,Вид ТОИР,"Время простоя, час"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-01 08:00:00,2023-01-01 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-01 08:00:00,2023-01-01 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-02 08:00:00,2023-01-02 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-02 08:00:00,2023-01-02 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-03 08:00:00,2023-01-03 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-03 08:00:00,2023-01-03 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-04 08:00:00,2023-01-04 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-04 08:00:00,2023-01-04 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-05 08:00:00,2023-01-05 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-05 08:00:00,2023-01-05 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-06 08:00:00,2023-01-06 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-06 08:00:00,2023-01-06 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-07 08:00:00,2023-01-07 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-07 08:00:00,2023-01-07 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-08 08:00:00,2023-01-08 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-08 08:00:00,2023-01-08 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-09 01:06:00,2023-01-09 21:06:00,2023,1,ТР,"20,0"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-09 08:00:00,2023-01-09 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-09 08:00:00,2023-01-09 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-10 05:31:12,2023-01-11 01:31:12,2023,1,ТР,"20,0"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-10 08:00:00,2023-01-10 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-10 08:00:00,2023-01-10 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-11 06:20:24,2023-01-11 10:50:24,2023,1,ТО-500,"4,5"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-11 08:00:00,2023-01-11 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-11 08:00:00,2023-01-11 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-12 08:00:00,2023-01-12 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-12 08:00:00,2023-01-12 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-13 08:00:00,2023-01-13 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-13 08:00:00,2023-01-13 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-14 08:00:00,2023-01-14 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-14 08:00:00,2023-01-14 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-15 08:00:00,2023-01-15 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-15 08:00:00,2023-01-15 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-16 08:00:00,2023-01-16 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-16 08:00:00,2023-01-16 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-17 08:00:00,2023-01-17 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-17 08:00:00,2023-01-17 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-18 08:00:00,2023-01-18 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-18 08:00:00,2023-01-18 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-19 08:00:00,2023-01-19 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-19 08:00:00,2023-01-19 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-20 08:00:00,2023-01-20 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-20 08:00:00,2023-01-20 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-20 17:39:00,2023-01-21 01:21:00,2023,1,ТО-2000,"7,7"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-21 08:00:00,2023-01-21 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-21 08:00:00,2023-01-21 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-21 13:14:24,2023-01-22 09:14:24,2023,1,ТР,"20,0"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-22 08:00:00,2023-01-22 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-22 08:00:00,2023-01-22 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-23 07:04:48,2023-01-24 03:04:48,2023,1,ТР,"20,0"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-23 08:00:00,2023-01-23 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-23 08:00:00,2023-01-23 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-24 08:00:00,2023-01-24 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-24 08:00:00,2023-01-24 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-25 08:00:00,2023-01-25 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-25 08:00:00,2023-01-25 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-26 08:00:00,2023-01-26 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-26 08:00:00,2023-01-26 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-27 08:00:00,2023-01-27 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-27 08:00:00,2023-01-27 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-28 08:00:00,2023-01-28 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-28 08:00:00,2023-01-28 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-29 08:00:00,2023-01-29 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-29 08:00:00,2023-01-29 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-30 08:00:00,2023-01-30 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-30 08:00:00,2023-01-30 08:39:36,2023,1,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-01-31 08:00:00,2023-01-31 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-01-31 08:00:00,2023-01-31 08:39:36,2023,1,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-01 08:00:00,2023-02-01 08:39:36,2023,2,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-02-01 08:00:00,2023-02-01 08:39:36,2023,2,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-02 08:00:00,2023-02-02 08:39:36,2023,2,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-02-02 08:00:00,2023-02-02 08:39:36,2023,2,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-03 01:22:48,2023-02-03 21:22:48,2023,2,ТР,"20,0"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-02-03 08:00:00,2023-02-03 08:39:36,2023,2,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-03 08:00:00,2023-02-03 08:39:36,2023,2,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-03 18:21:36,2023-02-03 23:51:36,2023,2,ТО-1000,"5,5"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-04 08:00:00,2023-02-04 08:39:36,2023,2,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-02-04 08:00:00,2023-02-04 08:39:36,2023,2,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-02-05 08:00:00,2023-02-05 08:39:36,2023,2,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-05 08:00:00,2023-02-05 08:39:36,2023,2,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-02-05 08:38:24,2023-02-06 04:38:24,2023,2,ТР,"20,0"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-06 08:00:00,2023-02-06 08:39:36,2023,2,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-02-06 08:00:00,2023-02-06 08:39:36,2023,2,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-02-07 08:00:00,2023-02-07 08:39:36,2023,2,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-07 08:00:00,2023-02-07 08:39:36,2023,2,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-08 08:00:00,2023-02-08 08:39:36,2023,2,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-02-08 08:00:00,2023-02-08 08:39:36,2023,2,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-09 08:00:00,2023-02-09 08:39:36,2023,2,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-02-09 08:00:00,2023-02-09 08:39:36,2023,2,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-10 08:00:00,2023-02-10 08:39:36,2023,2,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-02-10 08:00:00,2023-02-10 08:39:36,2023,2,ЕТО,"0,66"
Полюс Вернинское,Самосвалы карьерные,960000001,03-CTT-CC01,1213011420,Самосвалы CAT 785C,100000008673,Самосвал карьерный 785C №1619,2017-12-12,2030-01-01,"20,37",,2023-02-11 08:00:00,2023-02-11 08:39:36,2023,2,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-11 08:00:00,2023-02-11 08:39:36,2023,2,ЕТО,"0,66"
Олимпиадинский ГОК,Самосвалы карьерные,960000001,11-RUD-CGTR-SEBT-CC38,1113011620,Самосвалы CAT 785C,100000062398,Самосвал карьерный 785C №439,2013-12-13,2025-07-01,"21,2630137","60723,55",2023-02-12 08:00:00,2023-02-12 08:39:36,2023,2,ЕТО,"0,66"
